ProductId,Name_Product,Category,Description,Price,Status
1,"Super Widget","Widgets","A high-quality widget designed for various applications.",19.99,"Available"
2,"Mega Gadget","Gadgets","An advanced gadget with cutting-edge features and capabilities.",49.99,"Out of stock"
3,"Ultra Tool","Tools","A versatile tool perfect for home and professional use.",29.99,"Available"
4,"Pro Gadget","Gadgets","A professional-grade gadget for serious users.",99.99,"Available"
5,"Basic Widget","Widgets","An affordable option for everyday use.",9.99,"Available"
6,"Premium Widget","Widgets","A premium widget with additional features for advanced users.",39.99,"Available"
7,"Smart Gadget","Gadgets","A gadget that integrates smart technology for enhanced performance.",79.99,"Available"
8,"Eco-Friendly Tool","Tools","A sustainable tool made from recycled materials.",24.99,"Available"
9,"Compact Widget","Widgets","A compact version of our popular widget for easy portability.",14.99,"Available"
10,"All-in-One Gadget","Gadgets","A gadget that combines multiple functions in one device.",89.99,"Available"
11,"Heavy-Duty Tool","Tools","A robust tool designed for heavy-duty tasks and environments.",59.99,"Available"
12,"Travel Widget","Widgets","A widget designed for travel enthusiasts with special features.",34.99,"Available"
13,"Wireless Gadget","Gadgets","A cordless gadget for increased flexibility and convenience.",69.99,"Available"
14,"Safety Tool","Tools","A tool designed with safety features for enhanced user protection.",39.99,"Available"
15,"Mini Widget","Widgets","A miniaturized version of our standard widget for niche applications.",19.99,"Available"
16,"Virtual Gadget","Gadgets","A gadget that leverages virtual technology for interactive experiences.",99.99,"Available"
17,"Multi-Functional Tool","Tools","A tool that serves multiple purposes for various tasks.",44.99,"Available"
18,"Stylish Widget","Widgets","A trendy widget with a modern design for fashion-forward users.",29.99,"Available"
19,"Tech Gadget","Gadgets","A gadget with advanced technology for tech-savvy consumers.",89.99,"Available"
20,"Budget Tool","Tools","An affordable tool option without compromising quality.",14.99,"Available"
